mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	1	3/2	1/2	1					firstMeasure	2
2	2	2	6.0	1	3/2	3/2	0						3
3	3	8	6.0	1	3/2	3/2	0						4
4	4	14	6.0	1	3/2	3/2	0						5
5	5	20	6.0	1	3/2	3/2	0						6
6	6	26	6.0	1	3/2	3/2	0						7
7	7	32	6.0	1	3/2	3/2	0						8
8	8	38	6.0	1	3/2	3/2	0						9
9	9	44	4.0	1	3/2	1	0					end	1, 10
10	10	48	2.0	1	3/2	1/2	1						11
11	11	50	6.0	1	3/2	3/2	0						12
12	12	56	6.0	1	3/2	3/2	0						13
13	13	62	6.0	1	3/2	3/2	0				page		14
14	14	68	6.0	1	3/2	3/2	0						15
15	15	74	6.0	1	3/2	3/2	0						16
16	16	80	6.0	1	3/2	3/2	0						17
17	17	86	6.0	1	3/2	3/2	0						18
18	18	92	6.0	1	3/2	3/2	0						19
19	19	98	6.0	1	3/2	3/2	0						20
20	20	104	6.0	1	3/2	3/2	0						21
21	21	110	6.0	1	3/2	3/2	0						22
22	22	116	6.0	1	3/2	3/2	0						23
23	23	122	6.0	1	3/2	3/2	0						24
24	24	128	6.0	1	3/2	3/2	0						25
25	25	134	6.0	1	3/2	3/2	0						26
26	26	140	4.0	1	3/2	1	0			end		lastMeasure	-1
