mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	4	1	1/2	1/2	1		1	55	G3	3	3
1	1	0	0	2.0	0	1/2	4/4	6	2	1/2	1/2	1		1	55	G3	3	7
1	1	0	0	2.0	0	1/2	4/4	8	1	1/2	1/2	1		1	55	G3	3	9
1	1	0	0	2.0	0	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	2
1	1	0	0	2.0	0	1/2	4/4	6	1	1/2	1/2	1		5	59	B3	3	6
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	1
1	1	0	0	2.0	0	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	5
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	0
1	1	0	0	2.0	0	1/2	4/4	5	1	1/2	1/2	1		1	67	G4	4	4
1	1	0	0	2.0	0	1/2	4/4	7	1	1/2	1/2	1		1	67	G4	4	8
2	2	2	2	2.0	0	0	4/4	4	1	1/2	1/2	1		5	59	B3	3	16
2	2	2	2	2.0	0	0	4/4	6	2	1/2	1/2	1		5	59	B3	3	24
2	2	2	2	2.0	0	0	4/4	8	1	1/2	1/2	1		5	59	B3	3	28
2	2	2	2	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	14
2	2	2	2	2.0	0	0	4/4	6	1	1/2	1/2	1		2	62	D4	4	22
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	10
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	12
2	2	2	2	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	18
2	2	2	2	2.0	0	0	4/4	5	2	1/2	1/2	1		1	67	G4	4	20
2	2	2	2	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	26
2	2	4	4	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		3	57	A3	3	17
2	2	4	4	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		3	57	A3	3	25
2	2	4	4	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		3	57	A3	3	29
2	2	4	4	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		0	60	C4	4	15
2	2	4	4	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		0	60	C4	4	23
2	2	4	4	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	13
2	2	4	4	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		6	66	F#4	4	21
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	11
2	2	4	4	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	19
2	2	4	4	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	27
3	3	6	6	2.0	0	0	4/4	4	1	1/2	1/2	1		1	55	G3	3	36
3	3	6	6	2.0	0	0	4/4	6	2	1/2	1/2	1		1	55	G3	3	44
3	3	6	6	2.0	0	0	4/4	8	1	1/2	1/2	1		1	55	G3	3	48
3	3	6	6	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	34
3	3	6	6	2.0	0	0	4/4	6	1	1/2	1/2	1		2	62	D4	4	42
3	3	6	6	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	32
3	3	6	6	2.0	0	0	4/4	5	2	1/2	1/2	1		1	67	G4	4	40
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	30
3	3	6	6	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	38
3	3	6	6	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	46
3	3	8	8	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	37
3	3	8	8	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	45
3	3	8	8	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	49
3	3	8	8	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	35
3	3	8	8	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		2	62	D4	4	43
3	3	8	8	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	33
3	3	8	8	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		6	66	F#4	4	41
3	3	8	8	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	31
3	3	8	8	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	39
3	3	8	8	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	47
4	4	10	10	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	58
4	4	10	10	2.0	0	0	4/4	6	2	1/2	1/2	1		0	48	C3	3	68
4	4	10	10	2.0	0	0	4/4	8	1	1/2	1/2	1		0	48	C3	3	73
4	4	10	10	2.0	0	0	4/4	3	1	1/2	1/2	1		4	64	E4	4	56
4	4	10	10	2.0	0	0	4/4	6	1	1/2	1/2	1		4	64	E4	4	66
4	4	10	10	1.0	0	0	4/4	2	1	1/4	1/4	1		3	69	A4	4	53
4	4	10	10	1.0	0	0	4/4	5	2	1/4	1/4	1		3	69	A4	4	63
4	4	10	10	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	50
4	4	10	10	1.0	0	0	4/4	5	1	1/4	1/4	1		0	72	C5	5	60
4	4	10	10	1.0	0	0	4/4	7	1	1/4	1/4	1		0	72	C5	5	70
4	4	11	11	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	54
4	4	11	11	1.0	1/4	1/4	4/4	5	2	1/4	1/4	1		1	67	G4	4	64
4	4	11	11	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	51
4	4	11	11	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		5	71	B4	4	61
4	4	11	11	1.0	1/4	1/4	4/4	7	1	1/4	1/4	1		5	71	B4	4	71
4	4	12	12	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	59
4	4	12	12	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	69
4	4	12	12	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	74
4	4	12	12	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	57
4	4	12	12	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		3	57	A3	3	67
4	4	12	12	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	55
