mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1	3/2	4	1	1/2	1/2	1		-1	53	F3	3	3
1	1	0	0	2.0	0	1	3/2	6	2	1/2	1/2	1		-1	53	F3	3	7
1	1	0	0	2.0	0	1	3/2	8	1	1/2	1/2	1		-1	53	F3	3	9
1	1	0	0	2.0	0	1	3/2	3	1	1/2	1/2	1		3	57	A3	3	2
1	1	0	0	2.0	0	1	3/2	6	1	1/2	1/2	1		3	57	A3	3	6
1	1	0	0	2.0	0	1	3/2	2	1	1/2	1/2	1		0	60	C4	4	1
1	1	0	0	2.0	0	1	3/2	5	2	1/2	1/2	1		0	60	C4	4	5
1	1	0	0	2.0	0	1	3/2	1	1	1/2	1/2	1		-1	65	F4	4	0
1	1	0	0	2.0	0	1	3/2	5	1	1/2	1/2	1		-1	65	F4	4	4
1	1	0	0	2.0	0	1	3/2	7	1	1/2	1/2	1		-1	65	F4	4	8
2	2	2	2	4.0	0	0	3/2	4	1	1	1	1		3	57	A3	3	16
2	2	2	2	4.0	0	0	3/2	6	2	1	1	1		3	57	A3	3	24
2	2	2	2	4.0	0	0	3/2	8	1	1	1	1		3	57	A3	3	28
2	2	2	2	4.0	0	0	3/2	2	1	1	1	1		0	60	C4	4	12
2	2	2	2	4.0	0	0	3/2	3	1	1	1	1		0	60	C4	4	14
2	2	2	2	4.0	0	0	3/2	5	2	1	1	1		0	60	C4	4	20
2	2	2	2	4.0	0	0	3/2	6	1	1	1	1		0	60	C4	4	22
2	2	2	2	4.0	0	0	3/2	1	1	1	1	1		-1	65	F4	4	10
2	2	2	2	4.0	0	0	3/2	5	1	1	1	1		-1	65	F4	4	18
2	2	2	2	4.0	0	0	3/2	7	1	1	1	1		-1	65	F4	4	26
2	2	6	6	2.0	1	1	3/2	4	1	1/2	1/2	1		-1	53	F3	3	17
2	2	6	6	2.0	1	1	3/2	6	2	1/2	1/2	1		-1	53	F3	3	25
2	2	6	6	2.0	1	1	3/2	8	1	1/2	1/2	1		-1	53	F3	3	29
