mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	4	1	1/2	1/2	1		3	45	A2	2	3
1	1	0	0	2.0	0	1/2	4/4	6	1	1/2	1/2	1		3	45	A2	2	7
1	1	0	0	2.0	0	1/2	4/4	8	1	1/2	1/2	1		3	45	A2	2	9
1	1	0	0	2.0	0	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	2
1	1	0	0	2.0	0	1/2	4/4	5	2	1/2	1/2	1		3	57	A3	3	5
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		0	60	C4	4	1
1	1	0	0	2.0	0	1/2	4/4	5	3	1/2	1/2	1		0	60	C4	4	6
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	0
1	1	0	0	2.0	0	1/2	4/4	5	1	1/2	1/2	1		4	64	E4	4	4
1	1	0	0	2.0	0	1/2	4/4	7	1	1/2	1/2	1		4	64	E4	4	8
2	2	2	2	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	16
2	2	2	2	2.0	0	0	4/4	6	1	1/2	1/2	1		0	48	C3	3	24
2	2	2	2	2.0	0	0	4/4	8	1	1/2	1/2	1		0	48	C3	3	29
2	2	2	2	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	14
2	2	2	2	2.0	0	0	4/4	5	2	1/2	1/2	1		3	57	A3	3	21
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	12
2	2	2	2	4.0	0	0	4/4	5	3	1	1	1		4	64	E4	4	23
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	10
2	2	2	2	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	19
2	2	2	2	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	27
2	2	4	4	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		4	52	E3	3	17
2	2	4	4	1.0	1/2	1/2	4/4	6	1	1/4	1/4	1		4	52	E3	3	25
2	2	4	4	1.0	1/2	1/2	4/4	8	1	1/4	1/4	1		4	52	E3	3	30
2	2	4	4	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	15
2	2	4	4	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		5	59	B3	3	22
2	2	4	4	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	13
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	11
2	2	4	4	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		8	68	G#4	4	20
2	2	4	4	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		8	68	G#4	4	28
2	2	5	5	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		2	50	D3	3	18
2	2	5	5	1.0	3/4	3/4	4/4	6	1	1/4	1/4	1		2	50	D3	3	26
2	2	5	5	1.0	3/4	3/4	4/4	8	1	1/4	1/4	1		2	50	D3	3	31
3	3	6	6	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	38
3	3	6	6	2.0	0	0	4/4	6	1	1/2	1/2	1		0	48	C3	3	46
3	3	6	6	2.0	0	0	4/4	8	1	1/2	1/2	1		0	48	C3	3	50
3	3	6	6	2.0	0	0	4/4	3	1	1/2	1/2	1		0	60	C4	4	36
3	3	6	6	2.0	0	0	4/4	5	2	1/2	1/2	1		0	60	C4	4	42
3	3	6	6	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	34
3	3	6	6	2.0	0	0	4/4	5	3	1/2	1/2	1		4	64	E4	4	44
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	32
3	3	6	6	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	40
3	3	6	6	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	48
3	3	8	8	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		5	47	B2	2	39
