mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	6
1	1	0	0	2.0	0	0	4/4	6	2	1/2	1/2	1		0	48	C3	3	14
1	1	0	0	2.0	0	0	4/4	8	1	1/2	1/2	1		0	48	C3	3	18
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		0	60	C4	4	4
1	1	0	0	2.0	0	0	4/4	6	1	1/2	1/2	1		0	60	C4	4	12
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	2
1	1	0	0	2.0	0	0	4/4	5	2	1/2	1/2	1		-3	63	Eb4	4	10
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	8
1	1	0	0	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	16
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	7
1	1	2	2	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		-2	46	Bb2	2	15
1	1	2	2	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-2	46	Bb2	2	19
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	5
1	1	2	2	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	11
1	1	2	2	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		2	62	D4	4	13
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	1
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		1	67	G4	4	9
1	1	2	2	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		1	67	G4	4	17
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		-4	44	Ab2	2	26
2	2	4	4	2.0	0	0	4/4	6	2	1/2	1/2	1		-4	44	Ab2	2	34
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		-4	44	Ab2	2	38
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		0	60	C4	4	24
2	2	4	4	2.0	0	0	4/4	6	1	1/2	1/2	1		0	60	C4	4	32
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	22
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		-3	63	Eb4	4	30
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	20
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		0	72	C5	5	28
2	2	4	4	2.0	0	0	4/4	7	1	1/2	1/2	1		0	72	C5	5	36
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-1	53	F3	3	27
2	2	6	6	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		-1	53	F3	3	35
2	2	6	6	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-1	53	F3	3	39
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-4	56	Ab3	3	25
2	2	6	6	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		-4	56	Ab3	3	33
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-1	65	F4	4	23
2	2	6	6	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		-1	65	F4	4	31
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	21
2	2	6	6	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	29
2	2	6	6	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	37
3	3	8	8	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	46
3	3	8	8	2.0	0	0	4/4	6	2	1/2	1/2	1		2	50	D3	3	53
3	3	8	8	2.0	0	0	4/4	8	1	1/2	1/2	1		2	50	D3	3	57
3	3	8	8	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	44
3	3	8	8	4.0	0	0	4/4	6	1	1	1	1		-2	58	Bb3	3	52
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		-1	65	F4	4	42
3	3	8	8	2.0	0	0	4/4	5	2	1/2	1/2	1		-1	65	F4	4	50
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	40
3	3	8	8	2.0	0	0	4/4	5	1	1/2	1/2	1		-2	70	Bb4	4	48
3	3	8	8	2.0	0	0	4/4	7	1	1/2	1/2	1		-2	70	Bb4	4	55
3	3	10	10	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	47
3	3	10	10	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		-3	51	Eb3	3	54
3	3	10	10	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-3	51	Eb3	3	58
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	45
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	-3	63	Eb4	4	43
3	3	10	10	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1	1	-3	63	Eb4	4	51
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	41
3	3	10	10	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		1	67	G4	4	49
3	3	10	10	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		1	67	G4	4	56
4	4	12	12	2.0	0	0	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	68
4	4	12	12	2.0	0	0	4/4	6	2	1/2	1/2	1		-2	46	Bb2	2	80
4	4	12	12	2.0	0	0	4/4	8	1	1/2	1/2	1		-2	46	Bb2	2	86
4	4	12	12	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	66
